DFT, Frequency Response Magnitude
Numpoints, 2048
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
10335.938, 131.9774
10359.375, 131.8631
10382.813, 131.8596
10406.250, 131.7638
10429.688, 131.7352
10453.125, 131.6477
10476.563, 131.5274
10500.000, 131.5202
10523.438, 131.5507
10546.875, 131.5414
10570.313, 131.5098
10593.750, 131.5229
10617.188, 131.5100
10640.625, 131.6053
10664.063, 131.5848
10687.500, 131.7469
10710.938, 131.8574
10734.375, 131.8747
10757.813, 131.9853
10781.250, 132.0791
10804.688, 132.1930
10828.125, 132.2566
10851.563, 132.3568
10875.000, 132.5594
10898.438, 132.6920
10921.875, 132.8674
10945.313, 132.9095
10968.750, 133.0269
10992.188, 133.1135
11015.625, 133.3515
11039.063, 133.4763
11062.500, 133.5548
11085.938, 133.7020
11109.375, 133.9028
11132.813, 134.0167
11156.250, 134.1442
11179.688, 134.2401
11203.125, 134.3507
11226.563, 134.4222
11250.000, 134.5555
11273.438, 134.6312
11296.875, 134.6830
11320.313, 134.7553
11343.750, 134.7420
11367.188, 134.7530
11390.625, 134.8285
11414.063, 134.7677
11437.500, 134.6880
11460.938, 134.6117
11484.375, 134.4608
11507.813, 134.3266
11531.250, 134.1366
11554.688, 133.9091
11578.125, 133.6295
11601.563, 133.5087
11625.000, 133.2857
11648.438, 133.0343
11671.875, 132.7870
11695.313, 132.5344
11718.750, 132.2846
11742.188, 132.1849
11765.625, 131.9747
11789.063, 131.7499
11812.500, 131.6441
11835.938, 131.4178
11859.375, 131.3333
11882.813, 131.2503
11906.250, 131.1963
11929.688, 131.1672
11953.125, 131.2035
11976.563, 130.9948
12000.000, 131.0902
12023.438, 131.0255
12046.875, 131.0161
12070.313, 131.0108
12093.750, 131.0531
12117.188, 130.9293
12140.625, 130.9456
12164.063, 130.9821
12187.500, 131.0208
12210.938, 131.0445
12234.375, 130.9489
12257.813, 131.0207
12281.250, 131.0057
12304.688, 131.0952
12328.125, 131.1670
12351.563, 131.1464
12375.000, 131.2796
12398.438, 131.2837
12421.875, 131.3249
12445.313, 131.4631
12468.750, 131.2912
12492.188, 131.2926
12515.625, 131.2646
12539.063, 131.2238
12562.500, 131.2139
12585.938, 131.1902
12609.375, 131.1013
12632.813, 130.9904
12656.250, 130.9885
12679.688, 130.9258
12703.125, 130.8530
12726.563, 130.7253
12750.000, 130.6239
12773.438, 130.4928
12796.875, 130.4561
12820.313, 130.3629
12843.750, 130.1980
12867.188, 130.1406
12890.625, 129.9472
12914.063, 129.9594
12937.500, 129.8621
12960.938, 129.7858
12984.375, 129.7003
13007.813, 129.6589
13031.250, 129.6535
13054.688, 129.5700
13078.125, 129.4235
13101.563, 129.3147
13125.000, 129.2921
13148.438, 129.2202
13171.875, 129.0672
13195.313, 128.8780
13218.750, 128.7694
13242.188, 128.6844
13265.625, 128.4622
13289.063, 128.2829
13312.500, 128.0203
13335.938, 127.7746
13359.375, 127.5974
13382.813, 127.3601
13406.250, 127.1464
13429.688, 126.9459
13453.125, 126.8892
