DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
299.561, 133.6870
300.293, 133.6853
301.025, 133.6512
301.758, 133.5452
302.490, 133.6366
303.223, 133.6389
303.955, 133.7901
304.688, 133.5443
305.420, 133.6100
306.152, 133.7469
306.885, 133.6451
307.617, 133.6813
308.350, 133.5995
309.082, 133.6029
309.814, 133.6525
310.547, 133.6669
311.279, 133.6900
312.012, 133.6781
312.744, 133.6618
313.477, 133.6470
314.209, 133.6476
314.941, 133.6848
315.674, 133.6413
316.406, 133.6287
317.139, 133.6241
317.871, 133.6550
318.604, 133.6177
319.336, 133.6342
320.068, 133.5920
320.801, 133.7055
321.533, 133.7258
322.266, 133.6157
322.998, 133.6832
323.730, 133.6982
324.463, 133.6821
325.195, 133.6174
325.928, 133.7409
326.660, 133.5949
327.393, 133.6153
328.125, 133.7267
328.857, 133.7141
329.590, 133.6640
330.322, 133.7694
331.055, 133.6417
331.787, 133.7096
332.520, 133.6235
333.252, 133.6596
333.984, 133.6537
334.717, 133.6859
335.449, 133.6191
336.182, 133.6665
336.914, 133.6799
337.646, 133.7264
338.379, 133.6804
339.111, 133.6981
339.844, 133.7378
340.576, 133.7826
341.309, 133.7505
342.041, 133.6984
342.773, 133.6461
343.506, 133.7263
344.238, 133.6686
344.971, 133.6798
345.703, 133.7418
346.436, 133.7418
347.168, 133.6532
347.900, 133.6708
348.633, 133.8405
349.365, 133.6543
350.098, 133.5883
350.830, 133.6805
351.563, 133.6622
352.295, 133.6864
353.027, 133.7153
353.760, 133.6605
354.492, 133.6677
355.225, 133.6625
355.957, 133.7568
356.689, 133.7272
357.422, 133.7559
358.154, 133.7388
358.887, 133.7229
359.619, 133.6937
360.352, 133.7977
361.084, 133.7518
361.816, 133.7368
362.549, 133.6933
363.281, 133.7856
364.014, 133.7724
364.746, 133.8341
365.479, 133.7660
366.211, 133.7375
366.943, 133.7874
367.676, 133.8165
368.408, 133.7955
369.141, 133.8568
369.873, 133.8500
370.605, 133.7541
371.338, 133.8434
372.070, 133.8192
372.803, 133.7167
373.535, 133.8170
374.268, 133.8986
375.000, 133.7776
375.732, 133.7580
376.465, 133.8553
377.197, 133.8404
377.930, 133.7424
378.662, 133.7707
379.395, 133.8241
380.127, 133.7964
380.859, 133.8459
381.592, 133.8347
382.324, 133.7747
383.057, 133.7751
383.789, 133.9488
384.521, 133.7672
385.254, 133.7894
385.986, 133.8216
386.719, 133.8101
387.451, 133.9525
388.184, 133.8626
388.916, 133.9242
389.648, 133.8213
390.381, 133.9502
391.113, 133.9044
391.846, 133.8835
392.578, 133.9371
393.311, 133.7137
394.043, 133.9178
394.775, 133.8871
395.508, 133.8935
396.240, 133.8478
396.973, 133.9811
397.705, 133.9574
398.438, 133.9701
399.170, 133.8641
399.902, 133.9081
400.635, 133.9360
401.367, 133.8490
402.100, 133.9389
402.832, 133.9340
403.564, 133.8831
404.297, 133.9841
405.029, 133.9131
405.762, 133.9285
406.494, 133.9392
407.227, 133.9614
407.959, 133.8739
408.691, 133.9045
409.424, 134.0143
410.156, 133.9241
410.889, 134.0057
411.621, 133.9803
412.354, 133.9543
413.086, 133.9869
413.818, 134.0253
414.551, 133.8896
415.283, 133.9634
416.016, 133.9909
416.748, 133.9853
417.480, 134.0564
418.213, 134.0010
418.945, 134.0104
419.678, 133.9999
420.410, 133.9400
421.143, 134.0265
421.875, 133.9312
422.607, 133.9450
423.340, 134.1180
424.072, 133.9928
424.805, 133.9962
425.537, 134.0792
426.270, 134.0091
427.002, 133.9818
427.734, 134.0468
428.467, 134.0522
429.199, 134.0309
429.932, 134.0161
430.664, 134.0440
431.396, 134.0798
432.129, 134.0589
432.861, 134.0708
433.594, 134.0218
434.326, 134.1048
435.059, 134.0359
435.791, 134.0133
436.523, 134.0672
437.256, 134.0897
437.988, 134.0908
438.721, 134.1306
439.453, 134.0782
440.186, 134.1333
440.918, 134.0946
441.650, 134.0702
442.383, 134.1560
443.115, 134.1974
443.848, 134.1972
444.580, 134.2208
445.313, 134.1038
446.045, 134.1349
446.777, 134.1512
447.510, 134.1328
448.242, 134.0886
448.975, 134.2149
449.707, 134.2411
450.439, 134.2100
451.172, 134.2261
451.904, 134.1630
452.637, 134.2185
453.369, 134.1918
454.102, 134.1745
454.834, 134.2390
455.566, 134.2913
456.299, 134.2580
457.031, 134.2229
457.764, 134.1260
458.496, 134.2550
459.229, 134.1922
459.961, 134.2973
460.693, 134.3209
461.426, 134.2115
462.158, 134.2594
462.891, 134.2717
463.623, 134.2305
464.355, 134.3047
465.088, 134.2764
465.820, 134.2840
466.553, 134.3025
467.285, 134.3465
468.018, 134.3172
468.750, 134.3194
469.482, 134.3285
470.215, 134.3921
470.947, 134.3115
471.680, 134.4605
472.412, 134.3284
473.145, 134.3259
473.877, 134.3568
474.609, 134.3160
475.342, 134.4096
476.074, 134.3823
476.807, 134.4010
477.539, 134.3525
478.271, 134.4196
479.004, 134.4424
479.736, 134.4350
480.469, 134.3971
481.201, 134.4003
481.934, 134.4797
482.666, 134.5264
483.398, 134.5175
484.131, 134.5353
484.863, 134.5342
485.596, 134.5123
486.328, 134.4940
487.061, 134.5103
487.793, 134.4674
488.525, 134.4748
489.258, 134.4481
489.990, 134.5504
490.723, 134.4684
491.455, 134.5558
492.188, 134.5210
492.920, 134.5087
493.652, 134.5655
494.385, 134.6558
495.117, 134.5849
495.850, 134.5949
496.582, 134.5154
497.314, 134.5806
498.047, 134.5312
498.779, 134.6028
499.512, 134.5464
500.244, 134.6639
500.977, 134.5746
501.709, 134.4900
502.441, 134.5715
503.174, 134.6469
503.906, 134.5493
504.639, 134.6134
505.371, 134.5750
506.104, 134.5926
506.836, 134.6176
507.568, 134.6390
508.301, 134.6152
509.033, 134.5902
509.766, 134.6505
510.498, 134.6772
511.230, 134.7103
511.963, 134.6491
512.695, 134.7127
513.428, 134.6949
514.160, 134.6455
514.893, 134.6851
515.625, 134.7364
516.357, 134.6736
517.090, 134.6321
517.822, 134.6419
518.555, 134.7334
519.287, 134.6724
520.020, 134.7541
520.752, 134.7332
521.484, 134.6835
522.217, 134.6745
522.949, 134.7696
523.682, 134.7757
524.414, 134.7208
525.146, 134.7703
525.879, 134.6708
526.611, 134.7114
527.344, 134.7142
528.076, 134.7271
528.809, 134.7357
529.541, 134.7436
530.273, 134.8325
531.006, 134.7641
531.738, 134.8297
532.471, 134.7523
533.203, 134.8031
533.936, 134.7876
534.668, 134.8118
535.400, 134.8016
536.133, 134.8522
536.865, 134.8625
537.598, 134.8211
538.330, 134.8759
539.063, 134.7979
539.795, 134.8382
540.527, 134.7956
541.260, 134.8352
541.992, 134.8800
542.725, 134.7178
543.457, 134.8411
544.189, 134.8279
544.922, 134.8476
545.654, 134.7755
546.387, 134.7983
547.119, 134.7799
547.852, 134.8279
548.584, 134.8973
549.316, 134.8862
550.049, 135.8572
550.781, 134.7482
551.514, 134.8175
552.246, 134.8408
552.979, 134.7272
553.711, 134.8632
554.443, 134.9058
555.176, 134.8795
555.908, 134.8680
556.641, 134.9277
557.373, 134.8788
558.105, 134.9325
558.838, 134.9976
559.570, 134.9542
560.303, 134.8658
561.035, 134.9651
561.768, 134.9793
562.500, 134.9802
563.232, 134.8968
563.965, 134.9897
564.697, 134.9395
565.430, 134.9591
566.162, 134.9754
566.895, 134.9886
567.627, 134.9240
568.359, 135.0968
569.092, 134.9436
569.824, 134.9611
570.557, 134.9138
571.289, 134.9587
572.021, 134.9279
572.754, 135.0344
573.486, 134.9124
574.219, 134.9708
574.951, 134.9621
575.684, 134.9804
576.416, 134.9977
577.148, 134.9581
577.881, 134.9026
578.613, 134.9078
579.346, 135.0180
580.078, 134.9646
580.811, 135.0591
581.543, 134.9933
582.275, 135.0115
583.008, 135.0517
583.740, 135.0512
584.473, 135.0375
585.205, 135.1278
585.938, 135.0791
586.670, 135.0089
587.402, 135.1312
588.135, 135.0154
588.867, 135.1619
589.600, 135.0272
590.332, 135.1003
591.064, 135.0904
591.797, 135.1056
592.529, 135.0748
593.262, 135.1901
593.994, 135.1177
594.727, 135.0584
595.459, 135.2079
596.191, 135.1164
596.924, 135.1297
597.656, 135.1509
598.389, 135.1512
599.121, 135.2426
599.854, 135.1425
600.586, 135.2018
601.318, 135.1446
602.051, 135.1289
602.783, 135.1925
603.516, 135.2236
604.248, 135.2009
604.980, 135.2284
605.713, 135.1314
606.445, 135.1339
607.178, 135.0693
607.910, 135.1343
608.643, 135.1813
609.375, 135.2067
610.107, 135.1858
610.840, 135.2471
611.572, 135.1781
612.305, 135.1852
613.037, 135.1744
613.770, 135.2551
614.502, 135.2621
615.234, 135.2810
615.967, 135.2554
616.699, 135.1516
617.432, 135.1603
618.164, 135.3055
618.896, 135.3431
619.629, 135.2039
620.361, 135.2426
621.094, 135.3506
621.826, 135.1961
622.559, 135.2707
623.291, 135.3109
624.023, 135.3479
624.756, 135.2776
625.488, 135.3312
626.221, 135.3023
626.953, 135.4279
627.686, 135.2899
628.418, 135.3510
629.150, 135.3274
629.883, 135.3899
630.615, 135.3040
631.348, 135.3031
632.080, 135.2524
632.813, 135.3597
633.545, 135.3359
634.277, 135.2897
635.010, 135.2992
635.742, 135.3602
636.475, 135.2783
637.207, 135.2731
637.939, 135.4163
638.672, 135.2935
639.404, 135.3330
640.137, 135.5683
640.869, 135.2521
